,gw,spv,model,spv_gw
0,5.265994549973539,1.327127258682141,ACCESS-CM2,0.25201835020676383
1,4.399580475971987,-2.191448553457236,ACCESS-ESM1-5,-0.4981039818286504
2,3.751094939150107,-2.6472674489905366,BCC-CSM2-MR,-0.7057319241272878
3,2.776618280178127,-4.170121460911386,CAMS-CSM1-0,-1.5018706354709523
4,4.643256573448298,1.1258431039812464,CAS-ESM2-0,0.24246842408390606
5,5.1833339163882215,-3.6490420403005714,CESM2-WACCM,-0.7039951697426521
6,4.962404715503794,-2.192640188798677,CESM2,-0.4418503355738641
7,5.35794767734518,1.0951679683006645,CIESM,0.20440064633914296
8,4.676869503598368,-1.5189156332881346,CMCC-CM2-SR5,-0.32477186547956616
9,4.679908643854333,1.2195148363806503,CMCC-ESM2,0.2605851800081867
10,5.099827360995495,-6.113940244262445,CNRM-CM6-1,-1.1988523946953753
11,4.704434640839338,-5.019799826634785,CNRM-ESM2-1,-1.0670357247729094
12,6.536244696517623,2.1670474166272853,CanESM5,0.33154318989646203
13,6.5276045632485165,-0.27872580603399033,E3SM-1-0,-0.042699554382209716
14,5.070578370300723,-3.9255004409559255,EC-Earth3,-0.7741721267830665
15,3.2133667887406716,-2.581850400123349,FGOALS-g3,-0.8034720496800752
16,4.228524144689397,2.452440227609867,GISS-E2-1-H,0.5799754580306433
17,5.810316929708321,0.507018350740652,HadGEM3-GC31-LL,0.08726173750492891
18,5.627313063112808,-0.3921227659745421,HadGEM3-GC31-MM,-0.06968205990615976
19,3.114214009651789,-2.3419645412592143,IITM-ESM,-0.7520242777152869
20,3.3088090302791784,1.71689059967483,INM-CM4-8,0.518884766078497
21,3.218083073268133,1.4072187058731807,INM-CM5-0,0.43728476668691957
22,5.212804957203438,0.37020934944223527,IPSL-CM6A-LR,0.07101922141373287
23,5.062295522205564,0.775469015864779,KACE-1-0-G,0.1531852521179797
24,4.0697934012408155,3.3033112167315934,MCM-UA-1-0,0.8116655788287598
25,3.7348749140862596,4.006344807486822,MIROC-ES2L,1.0726851366231036
26,3.492902371815384,0.2813010374390859,MIROC6,0.08053504149126386
27,3.391917662674132,-1.8280649606541992,MPI-ESM1-2-HR,-0.5389473278702712
28,3.523302062634838,-0.9286308629878663,MPI-ESM1-2-LR,-0.26356833631613363
29,4.061271062888049,-1.9438772042431214,MRI-ESM2-0,-0.4786376417979824
30,4.559245811958192,0.3938151049303453,NESM3,0.08637724772317158
31,3.4488047017184726,4.190634840989722,NorESM2-LM,1.2150977522448891
32,3.546110453141182,-2.2823738967148532,NorESM2-MM,-0.6436274128723493
33,5.435023532058381,-1.0570000912199227,TaiESM1,-0.1944793955325544
34,6.219338823373528,-2.0462942598655838,UKESM1-0-LL,-0.32902118986912204
