,gw,ta,model,ta_gw
0,5.265994549973539,8.843320455834533,ACCESS-CM2,1.679325789632458
1,4.399580475971987,7.391824622463946,ACCESS-ESM1-5,1.680120334844174
2,3.751094939150107,6.402806650014497,BCC-CSM2-MR,1.7069167146873636
3,2.776618280178127,5.1184260639311105,CAMS-CSM1-0,1.8434028546418526
4,4.643256573448298,7.552247797640433,CAS-ESM2-0,1.6264980575974899
5,5.1833339163882215,8.91582824802964,CESM2-WACCM,1.7200952884475256
6,4.962404715503794,8.60580123195902,CESM2,1.734199793312372
7,5.35794767734518,9.052154211212752,CIESM,1.6894816366885503
8,4.676869503598368,7.367322582584109,CMCC-CM2-SR5,1.5752679387174935
9,4.679908643854333,7.704789086804254,CMCC-ESM2,1.646354592182521
10,5.099827360995495,9.259927235737493,CNRM-CM6-1,1.8157334710110538
11,4.704434640839338,8.451565844503364,CNRM-ESM2-1,1.7965104183051173
12,6.536244696517623,11.212536862387465,CanESM5,1.7154401928008103
13,6.5276045632485165,9.758129743322122,E3SM-1-0,1.494902095978974
14,5.070578370300723,8.041195030859711,EC-Earth3,1.585853613457277
15,3.2133667887406716,6.09204026151054,FGOALS-g3,1.8958434134741369
16,4.228524144689397,7.712602472748921,GISS-E2-1-H,1.823946655817297
17,5.810316929708321,9.055144629823374,HadGEM3-GC31-LL,1.5584596742949002
18,5.627313063112808,8.8531400541532,HadGEM3-GC31-MM,1.5732446293393159
19,3.114214009651789,5.473756986962684,IITM-ESM,1.7576688596217327
20,3.3088090302791784,5.492635964342952,INM-CM4-8,1.6600039210723245
21,3.218083073268133,4.76502262252734,INM-CM5-0,1.4807021801610014
22,5.212804957203438,9.429036291242019,IPSL-CM6A-LR,1.8088220005646447
23,5.062295522205564,8.403814218258674,KACE-1-0-G,1.6600797368299949
24,4.0697934012408155,6.241893253548511,MCM-UA-1-0,1.5337125593759764
25,3.7348749140862596,6.572740516461247,MIROC-ES2L,1.7598288209524344
26,3.492902371815384,5.583279042976563,MIROC6,1.5984640990909622
27,3.391917662674132,6.059084773917931,MPI-ESM1-2-HR,1.7863301460982541
28,3.523302062634838,6.2155983681068765,MPI-ESM1-2-LR,1.7641400758749175
29,4.061271062888049,7.421010605514184,MRI-ESM2-0,1.8272630638539449
30,4.559245811958192,8.137736738167291,NESM3,1.7848865961171196
31,3.4488047017184726,5.71909010885966,NorESM2-LM,1.658281811669402
32,3.546110453141182,6.027766224887614,NorESM2-MM,1.6998247247341536
33,5.435023532058381,8.554089832356993,TaiESM1,1.5738827590903444
34,6.219338823373528,9.552255932361755,UKESM1-0-LL,1.5358957284112666
